Date,DayOfWeek,BusCommuters,Rail,Total
08/31/2003,U,396860,242605,639465
09/01/2003,U,326772,199296,526068
09/02/2003,W,1025978,648864,1674842
09/03/2003,W,1059974,650319,1710293
09/04/2003,W,1040002,652383,1692385
09/05/2003,W,1044868,634834,1679702
09/06/2003,A,625347,334013,959360
09/07/2003,U,421385,222973,644358
09/08/2003,W,1028540,623072,1651612
09/09/2003,W,1030074,632686,1662760
09/10/2003,W,1019275,645858,1665133
09/11/2003,W,1018196,639732,1657928
09/12/2003,W,1002297,650171,1652468
09/13/2003,A,601330,350594,951924
09/14/2003,U,386248,235410,621658
09/15/2003,W,1015639,653569,1669208
09/16/2003,W,1033950,663607,1697557
09/17/2003,W,1023215,663761,1686976
09/18/2003,W,1023301,647465,1670766
09/19/2003,W,1019769,642616,1662385
09/20/2003,A,618523,338787,957310
09/21/2003,U,421320,231095,652415
09/22/2003,W,992288,638244,1630532
09/23/2003,W,1023379,655433,1678812
09/24/2003,W,973736,643836,1617572
09/25/2003,W,1006367,648354,1654721
09/26/2003,W,939175,643987,1583162
09/27/2003,A,591935,358390,950325
09/28/2003,U,377248,236781,614029
09/29/2003,W,1001427,637350,1638777
09/30/2003,W,1000725,637394,1638119
10/01/2003,W,1051684,644239,1695923
10/02/2003,W,1016259,641608,1657867
10/03/2003,W,999345,667963,1667308
10/04/2003,A,651128,383554,1034682
10/05/2003,U,428277,236860,665137
10/06/2003,W,1018276,618461,1636737
10/07/2003,W,1051869,699907,1751776
10/08/2003,W,1026066,693316,1719382
10/09/2003,W,1011003,650911,1661914
10/10/2003,W,1031598,661985,1693583
10/11/2003,A,628499,366667,995166
10/12/2003,U,411927,351185,763112
10/13/2003,W,780132,547856,1327988
10/14/2003,W,928265,691539,1619804
10/15/2003,W,1026737,711785,1738522
10/16/2003,W,1013203,650877,1664080
10/17/2003,W,1023752,651230,1674982
10/18/2003,A,633461,362376,995837
10/19/2003,U,422713,241241,663954
10/20/2003,W,1077011,632330,1709341
10/21/2003,W,958546,644683,1603229
10/22/2003,W,1003925,640420,1644345
10/23/2003,W,1008328,644198,1652526
10/24/2003,W,1008879,639483,1648362
10/25/2003,A,615584,332732,948316
10/26/2003,U,395925,231808,627733
10/27/2003,W,990268,620687,1610955
10/28/2003,W,978501,631318,1609819
10/29/2003,W,986799,637933,1624732
10/30/2003,W,1006074,652674,1658748
10/31/2003,W,996142,628603,1624745
11/01/2003,A,606945,309648,916593
11/02/2003,U,397515,215452,612967
11/03/2003,W,1007989,614598,1622587
11/04/2003,W,1003988,630296,1634284
11/05/2003,W,1015157,639104,1654261
11/06/2003,W,1015139,644961,1660100
11/07/2003,W,906629,620991,1527620
11/08/2003,A,566334,320811,887145
11/09/2003,U,383993,221796,605789
11/10/2003,W,981163,606222,1587385
11/11/2003,W,789039,542871,1331910
11/12/2003,W,977852,627509,1605361
11/13/2003,W,901163,616525,1517688
11/14/2003,W,964479,632553,1597032
11/15/2003,A,567411,334186,901597
11/16/2003,U,382584,222633,605217
11/17/2003,W,996959,618428,1615387
11/18/2003,W,881272,608253,1489525
11/19/2003,W,1011052,632045,1643097
11/20/2003,W,1006072,638332,1644404
11/21/2003,W,1004115,626155,1630270
11/22/2003,A,608476,361622,970098
11/23/2003,U,352918,202523,555441
11/24/2003,W,897941,583860,1481801
11/25/2003,W,945699,602970,1548669
11/26/2003,W,930556,579257,1509813
11/27/2003,U,292469,153251,445720
11/28/2003,W,557794,344266,902060
11/29/2003,A,484077,265968,750045
11/30/2003,U,378933,217629,596562
12/01/2003,W,998632,601364,1599996
12/02/2003,W,984587,605675,1590262
12/03/2003,W,1002993,613563,1616556
12/04/2003,W,962556,610322,1572878
12/05/2003,W,968576,606672,1575248
12/06/2003,A,587823,326475,914298
12/07/2003,U,393784,214938,608722
12/08/2003,W,975766,586022,1561788
12/09/2003,W,959147,594395,1553542
12/10/2003,W,945145,597600,1542745
12/11/2003,W,936467,591327,1527794
12/12/2003,W,912540,575833,1488373
12/13/2003,A,544810,305519,850329
12/14/2003,U,369050,209939,578989
12/15/2003,W,936119,568654,1504773
12/16/2003,W,926650,576496,1503146
12/17/2003,W,925481,573820,1499301
12/18/2003,W,917919,567624,1485543
12/19/2003,W,926113,555922,1482035
12/20/2003,A,564850,289142,853992
12/21/2003,U,415703,218944,634647
12/22/2003,W,797301,508014,1305315
12/23/2003,W,770607,486462,1257069
12/24/2003,W,610061,333655,943716
12/25/2003,U,247349,101016,348365
12/26/2003,W,605667,321094,926761
12/27/2003,A,507042,232980,740022
12/28/2003,U,358852,178624,537476
12/29/2003,W,732494,461979,1194473
12/30/2003,W,725126,474545,1199671
12/31/2003,W,678329,430971,1109300
